Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,46053015989,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,35191117416,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,437834261,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,249454629,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,408,Dem. People's Rep. of Korea,PRK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1195589,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1689707794,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,892179503,,,4
H5,2017,2017,2017,0,0,1,Import,12,Algeria,DZA,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1841536597,,,4
H5,2017,2017,2017,0,0,2,Export,12,Algeria,DZA,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3467906168,,,4
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,4076682892,,,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,2041341086,,,4
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,45042828,,,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,417013,,,4
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,408,Dem. People's Rep. of Korea,PRK,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,538939,,,0
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,20173249,,,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,410,Rep. of Korea,KOR,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,1807024,,,0
H5,2017,2017,2017,0,0,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,,,119328725,,,4
H5,2017,2017,2017,0,0,2,Export,51,Armenia,ARM,842,USA,USA,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,60591915,,,4
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,406412281148,,,4
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,0,World,WLD,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,429980167539,,,4
H5,2017,2017,2017,0,0,1,Import,56,Belgium,BEL,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,9923355153,,,4
H5,2017,2017,2017,0,0,2,Export,56,Belgium,BEL,392,Japan,JPN,,,,,,,,TOTAL,All Commodities,1,No Quantity,,,0,,0,,3701380791,,,4
